철도운영기관명,선명,역명,출입구번호,상세위치,정원_인원,정원_중량(kg)
서울교통공사,3호선,가락시장,,(B4-B2) 8-2,15 ,1000
서울교통공사,3호선,가락시장,,(B4-B2) 3-2,15 ,1000
서울교통공사,3호선,가락시장,7 ,(B2-F1)7번 출입구측,15 ,1000
서울교통공사,3호선,경복궁(정부서울청사),,(B3-B2)섬식(상) 6-2,11 ,1000
서울교통공사,3호선,경복궁(정부서울청사),4 ,(B2-F1)4번 출입구측,11 ,1000
서울교통공사,3호선,경찰병원,,(B3-B1) 4-2,15 ,1000
서울교통공사,3호선,경찰병원,,(B3-B1) 7-3,15 ,1000
서울교통공사,3호선,경찰병원,1 ,(B1-F1)1번 출입구측,15 ,1000
서울교통공사,3호선,경찰병원,3 ,(B1-F1)3번 출입구측,15 ,1000
서울교통공사,3호선,고속터미널,,(B3-B2) 8-2,15 ,1000
서울교통공사,3호선,고속터미널,,(B3-B2) 3-3,15 ,1000
서울교통공사,3호선,교대(법원·검찰청),13 ,(B1-F1)13번 출입구,13 ,1000
서울교통공사,3호선,교대(법원·검찰청),,(B3-B1)섬식(상) 4-2,15 ,1000
서울교통공사,3호선,구파발,,(B1-B2)섬식(상) 5-3,15 ,1000
서울교통공사,3호선,구파발,1 ,(B1-F1)1번 출입구측,15 ,1000
서울교통공사,3호선,금호,,(B1-B2)섬식(상) 3-2,15 ,1000
서울교통공사,3호선,금호,2 ,(B1-F1)2번 출입구측,15 ,1000
서울교통공사,3호선,금호,3 ,(B1-F1)3번 출입구측,15 ,1000
서울교통공사,3호선,남부터미널(예술의전당),,(B3-B2) 3-2,15 ,1000
서울교통공사,3호선,남부터미널(예술의전당),,(B3-B2) 8-2,15 ,1000
서울교통공사,3호선,남부터미널(예술의전당),5 ,(B2-F1)5번 출입구측,15 ,1000
서울교통공사,3호선,녹번,,(B1-B2)섬식(상) 3-1,15 ,1000
서울교통공사,3호선,녹번,3 ,(B1-F1)3번 출입구측,15 ,1000
서울교통공사,3호선,녹번,1 ,(B1-F1)1번 출입구,17 ,1150
서울교통공사,3호선,대청,,(B3-B2) 4-4,15 ,1000
서울교통공사,3호선,대청,,(B3-B2) 7-1,15 ,1000
서울교통공사,3호선,대청,8 ,(B2-F1)8번 출입구측,15 ,1000
서울교통공사,3호선,대치,,(B4-B1)섬식(상) 1-1,13 ,1000
서울교통공사,3호선,대치,7 ,(B1-F1)7번 출입구측,15 ,1000
서울교통공사,3호선,독립문,,(B3-B2)섬식(상) 9-1,15 ,1000
서울교통공사,3호선,독립문,4 ,(B2-F1)4번 출입구측,15 ,1000
서울교통공사,3호선,동대입구,,(B3-B2)섬식(상) 3-3,15 ,1000
서울교통공사,3호선,동대입구,,(B3-B2),16 ,1000
서울교통공사,3호선,동대입구,6 ,(B2-F1)6번 출입구측,15 ,1000
서울교통공사,3호선,매봉,,(B1-B2) 5-4,13 ,1000
서울교통공사,3호선,매봉,,(B1-B2) 6-1,13 ,1000
서울교통공사,3호선,매봉,1 ,(B1-F1)1번 출입구측,13 ,1000
서울교통공사,3호선,무악재,,(B3-B2) 3-3,11 ,750
서울교통공사,3호선,무악재,,(B3-B2) 8-2,11 ,750
서울교통공사,3호선,무악재,1 ,(B2-F1)1번 출입구측,11 ,750
서울교통공사,3호선,불광,,(B1-B2) 3-3,11 ,750
서울교통공사,3호선,불광,,(B1-B2) 8-2,11 ,750
서울교통공사,3호선,불광,1 ,(B1-F1)1번 출입구측,15 ,1000
서울교통공사,3호선,수서,,(B1-B2) 8-3,9 ,600
서울교통공사,3호선,수서,,(B1-B2) 3-2,15 ,1000
서울교통공사,3호선,수서,1 ,(B1-F1)1번 출입구측,15 ,1000
서울교통공사,3호선,수서,5 ,(B1-F1)5번 출입구,17 ,1150
서울교통공사,3호선,신사,,(B1-B2) 3-1,15 ,1000
