철도운영기관명,선명,역명,출입구번호,상세위치,정원_인원,정원_중량(kg)
서울교통공사,6호선,고려대(종암),,(B1-B4) 승강장,15 ,1000
서울교통공사,6호선,고려대(종암),,(B1-B4) 승강장,15 ,1000
서울교통공사,6호선,고려대(종암),1 ,(F1-B1)1번 출입구,15 ,1000
서울교통공사,6호선,고려대(종암),3 ,(F1-B1)3/4번 출입구,15 ,1000
서울교통공사,6호선,공덕,,(B1-B2) 승강장,15 ,1000
서울교통공사,6호선,공덕,,(B1-B2) 승강장,15 ,1000
서울교통공사,6호선,공덕,5 ,(F1-B1)5번 출입구,15 ,1000
서울교통공사,6호선,공덕,6 ,(B2-B3)환승통로,15 ,1000
서울교통공사,6호선,공덕,6 ,(B2-B3)환승통로,15 ,1000
서울교통공사,6호선,광흥창(서강),1 ,(F1-B2)1번 출입구,15 ,1000
서울교통공사,6호선,광흥창(서강),,(B2-B3)승강장,15 ,1000
서울교통공사,6호선,광흥창(서강),4 ,(F1-B1)4번 출입구,24 ,1600
서울교통공사,6호선,구산,4 ,(F1-B1)4번 출입구,15 ,1000
서울교통공사,6호선,녹사평(용산구청),,(B4-B5)승강장,15 ,1000
서울교통공사,6호선,녹사평(용산구청),,(B2-B4)지하4층 대합실,15 ,1000
서울교통공사,6호선,녹사평(용산구청),1 ,(F1-B2)1번 출입구,15 ,1000
서울교통공사,6호선,대흥(서강대앞),,(B2-B3)승강장,15 ,1000
서울교통공사,6호선,대흥(서강대앞),,(B1-B2)지하2층 대합실,15 ,1000
서울교통공사,6호선,독바위,,(B1-B6)승강장,15 ,1000
서울교통공사,6호선,독바위,1 ,(F1-B1)1번 출입구,15 ,1000
서울교통공사,6호선,돌곶이,,(B1-B2) 승강장,15 ,1000
서울교통공사,6호선,돌곶이,,(B1-B2) 승강장,15 ,1000
서울교통공사,6호선,돌곶이,3 ,(F1-B1)3번 출입구,15 ,1000
서울교통공사,6호선,동묘앞,,(B2-B3)승강장,15 ,1000
서울교통공사,6호선,동묘앞,,(B2-B3)승강장,15 ,1000
서울교통공사,6호선,디지털미디어시티,,(B1-B2) 승강장,11 ,750
서울교통공사,6호선,디지털미디어시티,,(B1-B2) 승강장,11 ,750
서울교통공사,6호선,디지털미디어시티,4 ,(F1-B1)4번 출입구,17 ,1150
서울교통공사,6호선,마포구청,,(B2-B3) 승강장,15 ,1000
서울교통공사,6호선,마포구청,,(B2-B3) 승강장,15 ,1000
서울교통공사,6호선,마포구청,8 ,(F1-B2)8번 출입구,15 ,1000
서울교통공사,6호선,마포구청,2 ,(F1-B2)2번 출입구,24 ,1600
서울교통공사,6호선,망원,,(B1-B2) 승강장,15 ,1000
