철도운영기관명,선명,역명,출입구번호,상세위치,정원_인원,정원_중량(kg)
서울교통공사,7호선,가산디지털단지,,(B2-B4) 승강장,15 ,1000
서울교통공사,7호선,가산디지털단지,,(B2-B4) 승강장,15 ,1000
서울교통공사,7호선,가산디지털단지,,(B1-B2)지하2층 대합실,15 ,1000
서울교통공사,7호선,가산디지털단지,6 ,(F1-B1)6번 출입구,15 ,1000
서울교통공사,7호선,강남구청,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,강남구청,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,건대입구,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,건대입구,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,고속터미널,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,고속터미널,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,공릉(서울과학기술대),,(B2-B4) 승강장,15 ,1000
서울교통공사,7호선,공릉(서울과학기술대),,(B1-B4) 승강장,15 ,1000
서울교통공사,7호선,공릉(서울과학기술대),2 ,(F1-B1)2번 출입구,11 ,750
서울교통공사,7호선,광명사거리,,(B2-B3) 승강장,11 ,750
서울교통공사,7호선,광명사거리,2 ,(F1-B2)2번 출입구,15 ,1000
서울교통공사,7호선,군자(능동),7 ,(F1-B1)7번 출입구,15 ,1000
서울교통공사,7호선,남성,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,남성,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,남성,3 ,(F1-B2)3번 출입구,15 ,1000
서울교통공사,7호선,남성,2 ,(B3-F1)2번 출입구,15 ,1150
서울교통공사,7호선,내방,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,내방,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,내방,,(B1-B2)고객상담실 앞,15 ,1000
서울교통공사,7호선,내방,3 ,(F1-B1)3번 출입구,15 ,1000
서울교통공사,7호선,내방,5 ,(F1-B1)5번 출입구,24 ,1600
서울교통공사,7호선,노원,,(B1-B3)승강장,15 ,1000
서울교통공사,7호선,노원,3 ,(F1-B1)3번 출입구,15 ,1000
서울교통공사,7호선,노원,6 ,(F1-B1)6번 출입구,24 ,1600
서울교통공사,7호선,논현,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,논현,,(B2-B3) 승강장,15 ,1000
