철도운영기관명,선명,역명,출입구번호,상세위치,정원_인원,정원_중량(kg)
서울교통공사,5호선,강동,,(B3-B4) 승강장,15 ,1000
서울교통공사,5호선,강동,1 ,(F1-B3)1번 출입구,15 ,1000
서울교통공사,5호선,강일,,(B3-B2) 승강장,24 ,1600
서울교통공사,5호선,강일,,(B3-B2) 승강장,24 ,1600
서울교통공사,5호선,강일,,(B3-B1) 승강장,24 ,1600
서울교통공사,5호선,강일,,(B3-B1) 승강장,24 ,1600
서울교통공사,5호선,강일,1 ,(B2-F1)1번 출입구,24 ,1600
서울교통공사,5호선,강일,3 ,(B2-F1)3번 출입구,24 ,1600
서울교통공사,5호선,강일,4 ,(B2-F1)4번 출입구,24 ,1600
서울교통공사,5호선,개롱,,(B1-B2) 승강장,15 ,1000
서울교통공사,5호선,개롱,,(B1-B2) 승강장,15 ,1000
서울교통공사,5호선,개롱,3 ,(F1-B1)3/4번 출입구,15 ,1000
서울교통공사,5호선,개화산,1 ,(F1-B2)1번 출입구,24 ,1600
서울교통공사,5호선,개화산,2 ,(F1-B2)2번 출입구,15 ,1000
서울교통공사,5호선,거여,,(B1-B2) 승강장,15 ,1000
서울교통공사,5호선,거여,,(B1-B2) 승강장,15 ,1000
서울교통공사,5호선,거여,2 ,(F1-B1)2번 출입구,15 ,1000
서울교통공사,5호선,고덕,,(B1-B2) 승강장,15 ,1000
서울교통공사,5호선,고덕,,(B1-B2) 승강장,15 ,1000
서울교통공사,5호선,고덕,2 ,(F1-B1)2번 출입구,15 ,1000
서울교통공사,5호선,고덕,4 ,(F1-B1)4/5번 출입구,24 ,1600
서울교통공사,5호선,공덕,,(B1-B3)승강장,15 ,1000
서울교통공사,5호선,공덕,2 ,(F1-B1)2번 출입구,15 ,1000
서울교통공사,5호선,광나루(장신대),,(B2-B3) 승강장,15 ,1000
서울교통공사,5호선,광나루(장신대),,(B2-B3) 승강장,15 ,1000
서울교통공사,5호선,광나루(장신대),1 ,(F1-B2)1번 출입구,13 ,900
서울교통공사,5호선,광나루(장신대),3 ,(F1-B1)3번 출입구,24 ,1600
서울교통공사,5호선,광화문(세종문화회관),1 ,(F1-B2)1번 출입구,15 ,1000
서울교통공사,5호선,광화문(세종문화회관),,(B2-B4)지하4층 대합실,15 ,1000
서울교통공사,5호선,군자(능동),,(B1-B3) 승강장,15 ,1000
서울교통공사,5호선,군자(능동),,(B1-B3) 승강장,15 ,1000
서울교통공사,5호선,군자(능동),4 ,(F1-B1)4번 출입구,15 ,1000
서울교통공사,5호선,굽은다리(강동구민회관앞),,(B1-B2) 승강장,15 ,1000
서울교통공사,5호선,굽은다리(강동구민회관앞),,(B1-B2) 승강장,15 ,1000
서울교통공사,5호선,굽은다리(강동구민회관앞),2 ,(F1-B1)2번 출입구,17 ,1150
서울교통공사,5호선,길동,,(B2-B3) 승강장,15 ,1000
서울교통공사,5호선,길동,,(B2-B3) 승강장,15 ,1000
서울교통공사,5호선,길동,,(B1-B2)지하2층 대합실,15 ,1000
서울교통공사,5호선,김포공항,,(B2-B3) 승강장,15 ,1000
서울교통공사,5호선,김포공항,,(B2-B3) 승강장,15 ,1000
서울교통공사,5호선,김포공항,3 ,(F1-B1)외부,24 ,1600
서울교통공사,5호선,까치산,,(B1-B4)지하4층 대합실,15 ,1000
서울교통공사,5호선,답십리,,(B2-B3) 승강장,15 ,1000
서울교통공사,5호선,답십리,,(B2-B3) 승강장,15 ,1000
서울교통공사,5호선,답십리,2 ,(F1-B2)2번 출입구,15 ,1000
서울교통공사,5호선,답십리,6 ,(F1-B2)6번 출입구,15 ,1000
서울교통공사,5호선,동대문역사문화공원,,(B1-B4)지하4층 대합실,15 ,1000
서울교통공사,5호선,동대문역사문화공원,,(B1-B5)승강장,15 ,1000
서울교통공사,5호선,둔촌동,,(B1-B2) 승강장,15 ,1000
서울교통공사,5호선,둔촌동,,(B1-B2) 승강장,15 ,1000
서울교통공사,5호선,둔촌동,3 ,(F1-B1)3/4번 출입구,11 ,750
서울교통공사,5호선,마곡,,(B1-B2) 승강장,15 ,1005
서울교통공사,5호선,마곡,,(B1-B2) 승강장,15 ,1005
서울교통공사,5호선,마곡,1 ,(F1-B1)1번 출입구,15 ,1005
서울교통공사,5호선,마곡,6 ,(F1-B1)6/7번 출입구,24 ,1600
서울교통공사,5호선,마곡,3 ,(F1-B1)3번 출입구,21 ,1600
서울교통공사,5호선,마곡,4 ,(F1-B1)4/5번 출입구,21 ,1600
서울교통공사,5호선,마장,,(B2-B3) 승강장,15 ,1000
서울교통공사,5호선,마장,,(B2-B3) 승강장,15 ,1000
